FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ROU,215,87.06155,64.7548789,0.01543,9,266.8,127.220895,37.62050223,4.00E-05,-1.6,112.5506089,0.003329564,15.46079391,0,-5.510653647,0.103248024,8.526354031,0.74606,163.5,0.505935,23.42968485,0,12.68119847,0.0159376,8.90E-05,1.02E-05,13.7
ITA,237,138.41962,76.83871042,0.08526,-7,322,206.124176,39.91841172,0.00033,2.1,214.8509139,0.024241704,12.29462334,0,-1.908710543,0.108977667,7.623030838,0.60453,252,-0.58148,15.72412544,0,18.29313346,0.079588166,2.38E-10,2.90E-11,5.8
HUN,83,125.40044,84.48730608,0.82639,-20,234.7,195.393613,44.59214471,0.19285,-2.1,134.6069491,0.022458403,13.81080433,0,-31.90789021,0.037774544,8.318065644,0.99999,176,-0.030705,19.21593544,0,17.06380852,0.82500645,0.116633531,1.32E-07,9.2
CZE,305,162.12293,87.28040054,0.04398,-3,340.6,216.105861,40.35555509,0.00023,6.6,173.3572737,0.014562398,13.43930516,0,-55.27024392,0.143830337,8.93124993,1,217,0.613305,17.32432595,0,16.82752886,0.044260587,0.00028177,0.000267512,6.3
CHN,137,44.31908,68.81378124,0.06832,2,184.3,78.516412,46.93988195,0.00673,-4.2,88.73903583,-0.020152288,20.13710118,1.00E-05,-6.399691792,0.065304723,11.03717661,0.71952,98.5,0.13274,30.35055107,0.00026,-1.068513923,0.06706541,0.020893093,1.69E-05,28.6
USA,400,155.90401,93.85221711,2.00E-05,-9,339.2,202.709905,40.23039163,3.00E-05,-8,204.2548552,-0.054024951,13.49122346,0,-38.89466581,0.092380872,9.155333144,1,232,-0.24143,17.97947668,0,14.87538175,1.93E-05,1.56E-05,2.06E-11,7.4
PER,263,102.4986,93.51897379,0.05579,-2,391.3,195.057024,59.24863404,4.00E-05,0.4,181.3360652,0.020527398,16.88905822,0,51.70817821,0.064138154,10.4307044,0,209,-0.023615,24.94505923,0,8.723329636,0.055830832,1.05E-08,3.95E-13,15.6
SRB,232,77.72343,55.5733517,6.00E-04,-25,255.6,140.291336,32.87531501,2.00E-05,4.7,178.631231,-0.05271532,13.32409913,0,-43.37936607,0.131899111,9.314051087,1,201,-0.30432,18.18861923,0,17.41277499,0.00048116,8.10E-06,2.20E-11,8.3
COL,255,43.60619,50.90812296,4.00E-05,7,298.6,128.750929,39.65016308,0,4.1,158.6192263,0.115931007,14.92069071,0,-13.89911678,0.119359904,9.648732895,0.92624,172,0.301695,18.82773652,0,10.4595176,2.47E-05,2.40E-08,9.89E-09,15.1
KAZ,141,88.78316,74.92958174,0.35529,7,205.7,124.064586,41.46104662,0.01729,15.4,57.45768614,-0.021798763,20.80606173,0.00275,29.40603408,0.112526443,11.72502213,0.00615,69,0.59259,32.28166797,0.01042,5.502416475,0.353505139,0.006521303,0.002664845,15.9
