juniors,inactives,floor,fed,K,raw_pval,pval,adj_pval
TRUE,FALSE,1000,ISR,1,0.015289934569410635,0.03057986913882127,0.06039524154917201
TRUE,FALSE,1000,ISR,10,0.04566551952933895,0.0913310390586779,0.11273675133805552
TRUE,FALSE,1000,ITA,1,0.13970572750083543,0.27941145500167086,0.31089443584692955
TRUE,FALSE,1000,ITA,10,4.3296841932827235e-6,8.659368386565447e-6,3.109500466084865e-5
TRUE,FALSE,1000,JOR,1,0.1254024729350356,0.2508049458700712,0.28715348874979163
TRUE,FALSE,1000,JOR,10,0.001864560807600113,0.003729121615200226,0.007014300180971853
TRUE,FALSE,1000,KAZ,1,0.4676952693836346,0.9353905387672692,0.9528786344210367
TRUE,FALSE,1000,KAZ,10,0.18748241359012408,0.37496482718024815,0.40030028847621085
TRUE,FALSE,1000,KEN,1,2.8996862022623304e-7,5.799372404524661e-7,1.5271680665248272e-5
TRUE,FALSE,1000,KEN,10,3.146489069294489e-9,6.292978138588978e-9,7.102075327836133e-8
TRUE,FALSE,1000,KGZ,1,0.02518672696138391,0.05037345392276782,0.07652890115189726
TRUE,FALSE,1000,KGZ,10,0.01934823752485426,0.03869647504970852,0.05458967015941024
TRUE,FALSE,1000,KOR,1,0.17388761316826007,0.34777522633652014,0.3763594915148643
TRUE,FALSE,1000,KOR,10,9.626323893341393e-6,1.9252647786682786e-5,5.890252381053511e-5
TRUE,FALSE,1000,LAT,1,0.007389595493968781,0.014779190987937563,0.03648612775147086
TRUE,FALSE,1000,LAT,10,0.05662487444524866,0.11324974889049733,0.13555651761135287
TRUE,FALSE,1000,LTU,1,1,0,0
TRUE,FALSE,1000,LTU,10,0.023959918346015407,0.047919836692030815,0.06527012239086956
TRUE,FALSE,1000,MAS,1,0.005281894753414007,0.010563789506828014,0.026920624872239132
TRUE,FALSE,1000,MAS,10,0.05126120423710667,0.10252240847421334,0.12460415799173621
TRUE,FALSE,1000,MDA,1,0.002703589530223094,0.005407179060446188,0.015255969491973173
TRUE,FALSE,1000,MDA,10,0.011849246582862905,0.02369849316572581,0.03820777469576202
TRUE,FALSE,1000,MEX,1,2.0657625998599105e-4,4.131525199719821e-4,0.0021004543850271376
TRUE,FALSE,1000,MEX,10,4.330383385209302e-9,8.660766770418604e-9,8.552507185788372e-8
TRUE,FALSE,1000,MGL,1,0.061461746268734796,0.12292349253746959,0.16036809524991927
TRUE,FALSE,1000,MGL,10,0.008222867572347248,0.016445735144694495,0.027642831413422664
TRUE,FALSE,1000,NED,1,0.036017257770014965,0.07203451554002993,0.10162012013682795
TRUE,FALSE,1000,NED,10,0.2573182709214571,0.5146365418429142,0.5349511421788187
TRUE,FALSE,1000,NEP,1,1.8958449619077555e-6,3.791689923815511e-6,5.25578449222334e-5
TRUE,FALSE,1000,NEP,10,1.5159635324835108e-7,3.0319270649670216e-7,1.7108731295171052e-6
TRUE,FALSE,1000,NOR,1,0.017800894128185085,0.03560178825637017,0.06540793656402892
TRUE,FALSE,1000,NOR,10,0.157572905933422,0.315145811866844,0.341048207362749
TRUE,FALSE,1000,PER,1,0.07362641041616835,0.1472528208323367,0.17896881301160922
TRUE,FALSE,1000,PER,10,1.5238903965153483e-5,3.0477807930306966e-5,8.917580838867594e-5
TRUE,FALSE,1000,PHI,1,9.672290280926532e-7,1.9344580561853064e-6,3.82055466096598e-5
TRUE,FALSE,1000,PHI,10,8.260094269352258e-6,1.6520188538704517e-5,5.6743256285115514e-5
TRUE,FALSE,1000,POL,1,3.3909721265601434e-5,6.781944253120287e-5,4.464779966637522e-4
TRUE,FALSE,1000,POL,10,9.692820373885525e-6,1.938564074777105e-5,5.890252381053511e-5
TRUE,FALSE,1000,POR,1,0.028551880988218703,0.057103761976437406,0.08475843569444694
TRUE,FALSE,1000,POR,10,0.003982669691702134,0.007965339383404269,0.013983595806420827
TRUE,FALSE,1000,ROU,1,0.031409881031932096,0.06281976206386419,0.09023202187355038
TRUE,FALSE,1000,ROU,10,0.03669432018650631,0.07338864037301263,0.09351133208819351
TRUE,FALSE,1000,RSA,1,7.089527565748988e-4,0.0014179055131497975,0.004870197197340609
TRUE,FALSE,1000,RSA,10,2.3593550720901746e-6,4.718710144180349e-6,1.9013771741960284e-5
TRUE,FALSE,1000,RUS,1,4.012511477968772e-6,8.025022955937544e-6,7.924710168988325e-5
TRUE,FALSE,1000,RUS,10,1.05861763799453e-10,2.11723527598906e-10,3.345231736062715e-9
TRUE,FALSE,1000,SGP,1,0.47643931721051835,0.9528786344210367,0.9528786344210367
TRUE,FALSE,1000,SGP,10,0.12616820093812364,0.2523364018762473,0.2775165482723243
TRUE,FALSE,1000,SLO,1,0.015282464119250161,0.030564928238500322,0.06039524154917201
