metric,juniors,rating_floor,fed,yP,yPEA,E,A,weights
top10,TRUE,1000,BRA,276.2762519999999,213.0879299268851,53.69999999999999,9.899999999999999,3.216560021456322e-4
top10,TRUE,1000,BUL,76.90146599999991,18.93754456987977,45.19999999999999,9.100000000000001,3.3652697894224175e-4
top10,TRUE,1000,CAN,111.11856099999983,25.429352764628376,144.09999999999997,13.100000000000001,2.2218751565576558e-4
top10,TRUE,1000,CHI,259.1216139999999,225.3939106811943,200.50000000000003,4.5,2.9178341904177886e-4
top10,TRUE,1000,CHN,130.19690500000002,99.25102726847834,15,4.900000000000002,3.837569445819467e-4
top10,TRUE,1000,COL,173.74466999999973,133.85270594906314,110.60000000000002,5.900000000000002,4.059401307777562e-4
top10,TRUE,1000,CRC,176.2818379999999,93.06038935199528,79.19999999999999,13,1.5351688802287027e-4
top10,TRUE,1000,CRO,154.67941699999972,129.74978976645474,307.3,2.5999999999999943,4.400960088284698e-4
top10,TRUE,1000,CUB,231.15261099999992,212.37263121062517,156.70000000000005,2.3000000000000007,7.31013769526045e-4
top10,TRUE,1000,CZE,142.66896800000018,99.31773111492373,254.19999999999993,5.800000000000004,5.044006369912846e-4
top10,TRUE,1000,DEN,48.104170000000295,53.919957544276485,189.79999999999995,-1.8000000000000043,3.021592890288313e-4
top10,TRUE,1000,DOM,267.14401200000003,208.97630038236312,118.1,8.799999999999997,2.993848600736197e-4
top10,TRUE,1000,ECU,242.449708,171.01852092822884,-6.900000000000006,11.5,1.2536444951159967e-4
top10,TRUE,1000,EGY,218.4919110000002,134.18543473010607,183.1,12.700000000000003,2.9441885246060635e-4
top10,TRUE,1000,ENG,133.67959099999973,83.13954179386641,112.70000000000002,7.600000000000001,2.8350231647491863e-4
top10,TRUE,1000,ESP,155.23573999999974,159.36089951409892,95.89999999999998,-1.1000000000000014,6.912188930549173e-4
top10,TRUE,1000,EST,163.0685,150.13576723160648,148.20000000000002,1.3999999999999986,2.144509008800135e-4
top10,TRUE,1000,FRA,137.2078709999998,154.57003734225262,156.10000000000002,-3.5,5.541847313185994e-4
top10,TRUE,1000,GEO,103.03524299999964,60.68453199831494,-0.0999999999999659,6.800000000000001,4.898686178790594e-4
top10,TRUE,1000,GER,140.56136300000017,177.5634788104071,78.69999999999999,-6.299999999999997,0.0010463029666997598
top10,TRUE,1000,GRE,206.7565810000001,190.94497101572702,96.10000000000002,2.1000000000000014,3.530998337677597e-4
top10,TRUE,1000,HUN,98.00340900000018,123.60157585361388,129.3,-4.700000000000003,4.738395617597856e-4
top10,TRUE,1000,INA,96.58899500000001,46.88440523469693,61.400000000000006,7.699999999999999,3.732878678685931e-4
top10,TRUE,1000,IND,105.46643000000017,95.67086049404087,-49.80000000000007,1.8000000000000007,5.369932835216238e-4
top10,TRUE,1000,IRI,54.29192900000018,36.28154198681291,283.00000000000006,1.5999999999999979,2.911840538478455e-4
top10,TRUE,1000,IRQ,258.744479,173.69203587849785,121.70000000000002,13.100000000000001,3.0000406030393663e-4
top10,TRUE,1000,ISR,120.17923500000012,59.02835052800902,135.40000000000003,9.199999999999996,2.8274115595313944e-4
top10,TRUE,1000,ITA,93.78285999999983,73.20286068141753,176.20000000000005,2.5,4.8735851485544324e-4
