juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,mean,UKR,obs,-74.7529057638435
FALSE,FALSE,1000,mean,UKR,ptpval,0.973661
FALSE,FALSE,1000,mean,UKR,ptmean,0.10012561742266192
FALSE,FALSE,1000,mean,UKR,ptsd,38.52678646421883
FALSE,FALSE,1000,mean,USA,obs,-42.844895287958025
FALSE,FALSE,1000,mean,USA,ptpval,0.825947
FALSE,FALSE,1000,mean,USA,ptmean,0.040304074869110154
FALSE,FALSE,1000,mean,USA,ptsd,45.689792765307345
FALSE,FALSE,1000,mean,VIE,obs,-88.58885542168673
FALSE,FALSE,1000,mean,VIE,ptpval,0.90005
FALSE,FALSE,1000,mean,VIE,ptmean,-0.051490718975903675
FALSE,FALSE,1000,mean,VIE,ptsd,68.86214710807582
FALSE,FALSE,1000,median,ARG,obs,135
FALSE,FALSE,1000,median,ARG,ptpval,0.008859
FALSE,FALSE,1000,median,ARG,ptmean,-4.13604
FALSE,FALSE,1000,median,ARG,ptsd,62.90931448283512
FALSE,FALSE,1000,median,AUT,obs,-158
FALSE,FALSE,1000,median,AUT,ptpval,0.999999
FALSE,FALSE,1000,median,AUT,ptmean,-0.514462
FALSE,FALSE,1000,median,AUT,ptsd,30.037734012671805
FALSE,FALSE,1000,median,BAN,obs,-259
FALSE,FALSE,1000,median,BAN,ptpval,0.999998
FALSE,FALSE,1000,median,BAN,ptmean,-5.846916
FALSE,FALSE,1000,median,BAN,ptsd,57.21429797493662
FALSE,FALSE,1000,median,BEL,obs,-191
FALSE,FALSE,1000,median,BEL,ptpval,0.999945
FALSE,FALSE,1000,median,BEL,ptmean,0.423628
FALSE,FALSE,1000,median,BEL,ptsd,46.48996982828566
FALSE,FALSE,1000,median,BRA,obs,-147
FALSE,FALSE,1000,median,BRA,ptpval,0.999986
FALSE,FALSE,1000,median,BRA,ptmean,-0.7930420000000001
FALSE,FALSE,1000,median,BRA,ptsd,31.08364389158957
FALSE,FALSE,1000,median,BUL,obs,1.5
FALSE,FALSE,1000,median,BUL,ptpval,0.50302500000000006
FALSE,FALSE,1000,median,BUL,ptmean,1.8218964999999998
FALSE,FALSE,1000,median,BUL,ptsd,75.85566611977887
FALSE,FALSE,1000,median,CHI,obs,-64
FALSE,FALSE,1000,median,CHI,ptpval,0.834476
FALSE,FALSE,1000,median,CHI,ptmean,-1.3161329999999996
FALSE,FALSE,1000,median,CHI,ptsd,68.1482304253575
FALSE,FALSE,1000,median,CHN,obs,-28
FALSE,FALSE,1000,median,CHN,ptpval,0.619164
FALSE,FALSE,1000,median,CHN,ptmean,-1.2364884999999999
FALSE,FALSE,1000,median,CHN,ptsd,79.52201376153677
FALSE,FALSE,1000,median,COL,obs,-82.5
FALSE,FALSE,1000,median,COL,ptpval,0.986765
FALSE,FALSE,1000,median,COL,ptmean,-0.4325889999999999
FALSE,FALSE,1000,median,COL,ptsd,37.06450414526742
FALSE,FALSE,1000,median,CRO,obs,-86
FALSE,FALSE,1000,median,CRO,ptpval,0.989312
FALSE,FALSE,1000,median,CRO,ptmean,-0.5081294999999998
FALSE,FALSE,1000,median,CRO,ptsd,41.431290182819986
FALSE,FALSE,1000,median,CUB,obs,-64.5
FALSE,FALSE,1000,median,CUB,ptpval,0.964169
FALSE,FALSE,1000,median,CUB,ptmean,4.260931
FALSE,FALSE,1000,median,CUB,ptsd,43.69326671370309
FALSE,FALSE,1000,median,CZE,obs,-52.5
FALSE,FALSE,1000,median,CZE,ptpval,0.973534
FALSE,FALSE,1000,median,CZE,ptmean,-0.8021465000000002
FALSE,FALSE,1000,median,CZE,ptsd,25.620518918506068
FALSE,FALSE,1000,median,DEN,obs,-14
FALSE,FALSE,1000,median,DEN,ptpval,0.596312
FALSE,FALSE,1000,median,DEN,ptmean,2.5796270000000003
FALSE,FALSE,1000,median,DEN,ptsd,61.766883001238675
FALSE,FALSE,1000,median,EGY,obs,-108
FALSE,FALSE,1000,median,EGY,ptpval,0.935312
FALSE,FALSE,1000,median,EGY,ptmean,2.2884510000000002
FALSE,FALSE,1000,median,EGY,ptsd,71.67272800026896
FALSE,FALSE,1000,median,ENG,obs,-139
FALSE,FALSE,1000,median,ENG,ptpval,0.996975
FALSE,FALSE,1000,median,ENG,ptmean,0.81802
FALSE,FALSE,1000,median,ENG,ptsd,48.253079069000755
FALSE,FALSE,1000,median,ESP,obs,-157
FALSE,FALSE,1000,median,ESP,ptpval,1
FALSE,FALSE,1000,median,ESP,ptmean,0.06310700000000014
FALSE,FALSE,1000,median,ESP,ptsd,22.104462889059995
FALSE,FALSE,1000,median,FRA,obs,-175
FALSE,FALSE,1000,median,FRA,ptpval,1
