juniors,inactives,floor,metric,fed,stat,value
TRUE,TRUE,1600,sd,ALL,ptmean,-0.001456167985919523
TRUE,TRUE,1600,sd,ALL,ptsd,1.1768629495336573
TRUE,TRUE,1600,top1,ALL,obs,-197
TRUE,TRUE,1600,top1,ALL,ptpval,0.990378
TRUE,TRUE,1600,top1,ALL,ptmean,-98.244465
TRUE,TRUE,1600,top1,ALL,ptsd,53.38499785353346
TRUE,TRUE,1600,top10,ALL,obs,-208.69999999999982
TRUE,TRUE,1600,top10,ALL,ptpval,1
TRUE,TRUE,1600,top10,ALL,ptmean,-109.7549978999999
TRUE,TRUE,1600,top10,ALL,ptsd,22.774511430091398
