metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,FALSE,TRUE,1400,NED,171.858879,171.57779616341355,410,-3,9.027836610478355e-5
top1,FALSE,TRUE,1400,NOR,242.540952,238.6642161447875,293,-12,3.770597104444607e-5
top1,FALSE,TRUE,1400,PER,112.260931,111.44759348319417,-33,-2,8.268035259322526e-5
top1,FALSE,TRUE,1400,PHI,223.901174,227.6204099083678,360,8,2.2819826502044758e-4
top1,FALSE,TRUE,1400,POL,212.129415,207.83689592485422,-93,-11,1.4191507468231477e-4
top1,FALSE,TRUE,1400,POR,254.622873,251.14361078790466,305,-11,8.874608009835805e-5
top1,FALSE,TRUE,1400,ROU,98.064369,100.85085187348038,-279,9,1.895655256041002e-4
top1,FALSE,TRUE,1400,RSA,167.711632,172.93698476378862,367,12,8.886256614411891e-5
top1,FALSE,TRUE,1400,RUS,168.73095999999998,180.33558525185492,-709,35,3.2188319921593755e-4
top1,FALSE,TRUE,1400,SGP,37.101761999999994,37.79862805651971,-24,2,2.278974260005378e-4
top1,FALSE,TRUE,1400,SLO,189.595534,192.72742519018936,-475,11,1.1792717502902412e-4
top1,FALSE,TRUE,1400,SRB,138.034428,130.22063687360185,739,-25,2.779691884238622e-4
top1,FALSE,TRUE,1400,SRI,198.223428,209.03703137601457,-1,29,5.494072256309129e-5
top1,FALSE,TRUE,1400,SUI,103.05872600000001,112.35811973853964,-377,27,1.0924731326357345e-4
top1,FALSE,TRUE,1400,SVK,78.93526800000001,77.15942776286401,-139,-4,1.2820392184170054e-4
top1,FALSE,TRUE,1400,SWE,-32.00447,-42.74557446008249,219,-30,1.0034246308803761e-4
top1,FALSE,TRUE,1400,TKM,267.331992,259.6919670383102,459,-23,1.5298486131792489e-4
top1,FALSE,TRUE,1400,TUR,-6.522374000000013,-10.72089856333592,-47,-11,7.157973161486724e-5
top1,FALSE,TRUE,1400,UKR,90.773573,99.42097392521706,34,23,7.690503310224324e-4
top1,FALSE,TRUE,1400,USA,183.974354,181.09387661470979,233,-9,9.798285439079074e-5
top1,FALSE,TRUE,1400,UZB,120.284452,127.03855987519646,-345,20,8.722585585921978e-5
top1,FALSE,TRUE,1400,VEN,232.644008,229.8911195686009,843,-12,7.858340407637646e-5
top1,FALSE,TRUE,1400,VIE,300.980368,299.75419132105634,130,-4,4.328104588497734e-5
top1,FALSE,TRUE,1600,ARG,133.668455,136.85929815439607,456,-2,1.4915050856049322e-4
top1,FALSE,TRUE,1600,ARM,259.749866,259.54880178260305,167,-4,1.0013184173541118e-4
top1,FALSE,TRUE,1600,AUS,83.814977,82.55748151694534,0,-3,1.529737668922765e-4
top1,FALSE,TRUE,1600,AUT,119.17559,120.76929567104223,465,-6,1.0917688902419905e-4
top1,FALSE,TRUE,1600,AZE,280.289661,287.2685007792792,268,11,1.0624804240469739e-4
top1,FALSE,TRUE,1600,BEL,98.19220100000001,104.97124673641983,-229,21,9.007609132821417e-5
