FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
EGY,500,344.967952,127.7926621,0.044987,9,490,331.19774,48.8441793,0.000258,13.4,183.149143,-0.017387931,32.68118136,0,15.3778747,0.838681533,21.31903104,0.249724,224.5,0.6212905,42.4467883,0,14.67680339,0.04318576,2.77E-06,1.42E-06,3.3
MDA,335,117.796668,95.6841333,0.000975,17,302.6,153.3288,55.86675836,0.003645,3.4,28.196714,-0.026810473,43.3327359,0.258143,21.8845681,0.714666317,25.25081942,0.202113,-25,9.7406585,59.2529901,0.699644,7.50331625,0.001012591,0.1396507,0.7554225,16.2
DEN,440,254.239849,113.2913936,0.029512,-17,475.4,418.173159,52.94553557,0.137649,-6.2,53.622779,-0.007111197,36.9089113,0.073082,-43.8477139,0.974390622,23.64608775,0.969855,-4.5,-0.9537875,52.73991043,0.532708,12.33043282,0.0284715,0.6035455,0.5887332,1.5
BAN,347,222.442542,136.0655655,0.213381,9,440,330.212513,55.60164164,0.010243,-2.9,218.156197,0.003233341,30.00540966,0,-59.5274232,1.036854793,22.80071967,0.994943,218,4.233538,40.54374951,0,4.36948332,0.2139302,1.40E-06,7.43E-09,5.7
TKM,324,56.913964,80.90159662,3.60E-05,-23,292.2,100.817586,52.102653,5.00E-06,-3.6,141.81391,-0.001130109,38.61438717,0.000134,32.163485,0.677486758,27.69265772,0.128866,153,-2.5791825,39.98960684,0.000185,8.62406015,3.43E-05,0.001183112,7.10E-05,26.9
CRC,389,136.470792,100.6204051,0.001586,-10,387,217.147766,55.613332,0.000558,5.5,161.123449,0.04829219,42.79816252,8.10E-05,4.9262395,0.993118623,26.86285418,0.44198,146.5,-1.90602,60.540381,0.010374,11.32630273,0.001588714,0.003220371,0.000308147,11.4
ALG,446,168.386411,134.7356322,0.001589,-10,395.1,237.464258,62.29516396,0.001244,1,243.547392,-0.076338041,42.09799288,0,-36.0159515,1.035594366,27.81458936,0.907498,270.5,-5.1564825,53.87405247,0,12.10863609,0.001635226,0.002726884,1.42E-08,12.1
EST,217,60.421001,57.57910852,0.003693,23,305.9,131.03348,45.60020514,2.30E-05,-6.2,147.882608,0.056657421,46.60024253,0.000891,20.5018872,1.068420736,30.88937416,0.267475,192.5,8.6646595,55.44948344,0.003306,0.03296009,0.002977503,0.000206494,0.02335757,17.8
BOL,347,192.4016,122.2503156,0.015316,11,291.8,176.280251,53.22871602,0.011566,22.2,91.940302,-0.03370923,44.50401107,0.019573,46.0889029,0.984620406,26.33577226,0.04295,150,3.39164,66.47569799,0.01917,10.8182117,0.01329901,0.03935186,0.1503401,11.7
KEN,552,146.752266,109.6032235,0,40,506.4,225.305212,57.50577578,0,15.2,251.661714,-0.090477714,35.50692908,0,45.3507208,0.902305711,23.28912794,0.026829,307,3.490421,50.40067123,0,5.94872825,1.63E-07,2.17E-06,6.10E-10,11.9
BIH,368,202.111621,103.8349791,0.012585,-23,406,248.149458,47.88748081,0.000241,-2.2,140.483136,0.00644817,33.42690669,1.30E-05,27.2730327,1.099223771,23.09926327,0.128016,189,-0.449337,42.25692649,4.00E-06,15.98989407,0.01186002,0.002249005,0.000772487,5.3
ZAM,480,180.996244,117.7133878,0.000748,-19,616.9,292.927265,54.47220705,0,2.3,410.958268,0.027407584,34.26592503,0,-46.0203943,1.840482623,30.27279008,0.940242,463,2.429419,34.21929314,0,6.0775336,0.000771848,2.97E-24,1.93E-16,7.3
SGP,103,70.706608,68.66956052,0.239505,2,348.8,174.515472,56.57031644,0.001827,6.9,75.552174,0.113147951,57.00893375,0.093772,87.4650128,1.178390376,33.81887796,0.005288,111,-5.064375,86.74098142,0.086913,9.58405797,0.2386127,0.01009764,0.5244569,14.5
DOM,377,138.283699,95.87628644,0.000961,19,495.7,261.554688,50.40066367,0,14.8,190.580412,0.047199039,35.01310958,0,27.6061765,1.332155321,25.38874294,0.151653,161.5,-2.974279,42.73657365,1.80E-05,8.40044449,0.0009036,8.06E-07,0.000181151,6.8
BOT,503,105.409253,116.7401125,0,7,464.2,179.988301,63.80400584,0,7.4,220.792281,-0.028587888,42.12923891,0,53.2872836,1.028337764,27.90701488,0.029289,226.5,2.8287445,68.10919256,3.00E-06,2.64982456,5.93E-07,1.26E-06,0.000221738,20.2
IRQ,198,118.908766,70.64436055,0.124284,-18,332.1,200.659696,48.94203448,0.005721,-2.6,163.314292,0.05738412,50.98603467,0.000872,-0.3955992,1.287623206,29.5762096,0.520225,200,9.1500735,69.07651768,0.007226,11.74238351,0.1148935,0.003639396,0.01918582,6.8
THA,352,46.608133,56.65967514,2.80E-05,9,464.9,184.408676,59.20671329,2.00E-06,15.2,289.526136,-0.049961197,58.83055611,0,34.6183405,1.390651081,34.79769834,0.170737,355.5,1.814183,95.57083151,0,8.95738636,2.17E-05,3.21E-06,0.008432035,17.1
UAE,777,190.215933,233.0048398,0,3,613.8,200.481687,81.20949209,0,9.3,336.243172,0.096063635,61.52686453,0,72.5548786,1.589821951,40.80789539,0.039051,318,-5.9789105,85.58218565,5.00E-06,4.50026261,6.30E-09,7.34E-06,0.03008902,21.2
NGR,372,47.220496,44.13134269,0,-17,431.6,132.458799,35.80178494,0,5.7,267.694038,-0.021967122,37.5665224,0,18.0420119,1.38339584,26.74755108,0.281002,246.5,5.683056,49.30571911,0,4.20632845,3.34E-11,6.32E-10,0.001511985,11.8
ZIM,700,164.484322,155.3432696,0,12,620.1,188.706169,71.29592305,0,4.7,425.443484,-0.01584401,49.98932154,0,16.971847,1.838747686,38.26083609,0.351444,408.5,1.222737,53.1710423,0,3.02593085,2.11E-12,1.50E-15,0.005848739,18.5
